YEAR,DOY,T2M_MAX,T2M_MIN,T2MDEW,PRECTOTCORR,RH2M,WS2M,GWETPROF,GWETTOP
1994,1,27.47,13.55,13.47,0.0,69.09,1.77,0.69,0.68
1994,2,27.81,13.35,13.35,0.0,69.58,1.6,0.69,0.68
1994,3,27.73,13.43,13.0,0.0,67.27,1.6,0.69,0.68
1994,4,27.69,13.91,12.56,0.0,65.28,1.98,0.68,0.67
1994,5,27.29,12.8,10.84,0.0,59.11,1.77,0.68,0.67
1994,6,27.38,12.34,10.81,0.0,60.72,2.15,0.68,0.67
1994,7,27.06,12.57,11.25,0.0,64.6,2.53,0.67,0.66
1994,8,27.16,12.31,11.11,0.0,63.33,2.37,0.67,0.66
1994,9,26.51,13.29,12.22,0.0,63.06,1.74,0.67,0.66
1994,10,26.72,15.66,13.02,0.0,62.63,1.21,0.67,0.66
1994,11,27.29,13.96,15.31,0.03,76.39,1.97,0.66,0.65
1994,12,25.3,15.85,17.57,4.17,86.72,1.63,0.66,0.68
1994,13,25.51,13.65,14.89,0.32,81.47,1.52,0.66,0.66
1994,14,25.03,11.44,11.56,0.05,73.99,1.77,0.66,0.65
1994,15,23.36,8.48,5.98,0.0,61.53,1.99,0.66,0.64
1994,16,25.36,6.13,3.53,0.0,48.81,1.89,0.65,0.64
1994,17,27.81,8.9,7.26,0.0,55.83,2.37,0.65,0.63
1994,18,26.78,12.31,11.58,0.0,66.61,1.79,0.65,0.62
1994,19,25.49,12.29,9.89,0.0,64.57,1.45,0.65,0.62
1994,20,27.17,9.79,7.95,0.01,56.12,1.6,0.64,0.61
1994,21,28.38,13.05,14.8,0.67,70.46,1.9,0.64,0.61
1994,22,26.98,14.79,13.63,0.0,67.63,2.21,0.64,0.61
1994,23,29.33,14.26,13.27,0.0,62.9,1.96,0.63,0.6
1994,24,29.7,14.25,12.86,0.0,60.08,2.01,0.63,0.59
1994,25,30.32,15.3,13.12,0.0,57.82,1.89,0.63,0.59
1994,26,30.71,14.56,11.85,0.0,56.15,1.59,0.63,0.58
1994,27,31.32,14.33,11.5,0.0,53.74,1.74,0.62,0.57
1994,28,31.55,15.78,11.23,0.0,53.0,1.9,0.62,0.56
